property_type,price,location,city,province_name,latitude,longitude,baths,area_sqft,purpose,bedrooms,year,month,day
House,16.341239282272525,Samanabad,Lahore,Punjab,31.539206,74.305515,3.0,7.3121398034701235,For Sale,2.0,2019,4,3
House,17.399029524198163,Askari,Lahore,Punjab,31.533849,74.409633,5.0,8.440154467262884,For Sale,4.0,2019,6,18
House,17.399029524198163,DHA Defence,Lahore,Punjab,31.471571,74.44590600000001,6.0,8.602640345647105,For Sale,5.0,2019,6,25
House,17.747336210296442,DHA Defence,Lahore,Punjab,31.466227000000003,74.427137,6.0,8.602640345647105,For Sale,5.0,2019,6,25
House,16.811242881518265,Bahria Town,Lahore,Punjab,31.37108,74.19031600000001,7.0,7.9096767685629406,For Sale,5.0,2018,11,5
House,15.607270193858982,Allama Iqbal Town,Lahore,Punjab,31.518337,74.297862,2.0,6.301702805273309,For Sale,3.0,2019,2,3
House,15.520258832020865,Allama Iqbal Town,Lahore,Punjab,31.518337,74.297862,2.0,6.301702805273309,For Sale,3.0,2019,4,4
House,17.989897843244528,Gulberg,Lahore,Punjab,31.526751,74.33707199999999,0.0,8.697933498693878,For Sale,0.0,2019,4,3
House,17.370858648025116,DHA Defence,Lahore,Punjab,31.465422,74.38530899999999,6.0,8.602640345647105,For Sale,5.0,2019,6,26
House,16.677711496036597,Bahria Town,Lahore,Punjab,31.374195,74.191482,6.0,7.9096767685629406,For Sale,5.0,2019,5,3
House,17.77632374660947,DHA Defence,Lahore,Punjab,31.466227000000003,74.440012,6.0,8.602640345647105,For Sale,5.0,2019,6,25
House,17.370858648025116,Gulberg,Lahore,Punjab,31.505678000000003,74.348202,8.0,8.091936515950763,For Sale,5.0,2019,5,3
House,16.929025911619092,Askari,Lahore,Punjab,31.537458,74.41332299999999,5.0,7.9096767685629406,For Sale,5.0,2019,6,18
House,16.929025911619092,Askari,Lahore,Punjab,31.574430554518,74.443696327507,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.97251102166758,Askari,Lahore,Punjab,31.717278715535,74.455991908908,4.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.5563506464056,Allama Iqbal Town,Lahore,Punjab,31.521703,74.298978,5.0,7.711307231520588,For Sale,5.0,2019,7,3
House,17.426428497635523,Askari,Lahore,Punjab,31.533849,74.409633,5.0,8.440154467262884,For Sale,4.0,2019,6,18
House,17.147715103853763,Askari,Lahore,Punjab,31.536068,74.408666,4.0,8.091936515950763,For Sale,4.0,2019,6,18
House,16.97251102166758,Askari,Lahore,Punjab,31.53327,74.41358000000001,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.906553056777135,Askari,Lahore,Punjab,31.53327,74.41358000000001,6.0,7.9096767685629406,For Sale,5.0,2019,6,18
House,16.906553056777135,Askari,Lahore,Punjab,31.537458,74.41332299999999,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.88356353960952,Askari,Lahore,Punjab,31.537239000000003,74.420211,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.929025911619092,Askari,Lahore,Punjab,31.533161,74.419481,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,17.909855136853043,Gulberg,Lahore,Punjab,31.521776000000003,74.343538,0.0,8.602640345647105,For Sale,0.0,2019,4,3
House,18.938397268358436,Gulberg,Lahore,Punjab,31.519435,74.345548,0.0,9.010039498716473,For Sale,0.0,2019,4,4
House,18.938397268358436,Gulberg,Lahore,Punjab,31.510471000000003,74.350526,0.0,9.010039498716473,For Sale,0.0,2019,5,3
Flat,14.978661680269907,Mozang,Lahore,Punjab,31.54913520813,74.315116882324,2.0,6.706556666418615,For Sale,2.0,2019,7,3
House,17.906516235643267,DHA Defence,Lahore,Punjab,31.462493,74.40934200000001,7.0,8.602640345647105,For Sale,6.0,2019,5,3
House,18.005165315142214,DHA Defence,Lahore,Punjab,31.469155,74.47055300000001,6.0,9.010039498716473,For Sale,6.0,2019,6,25
House,18.938397268358436,Gulberg,Lahore,Punjab,31.53842,74.352357,7.0,9.010039498716473,For Sale,5.0,2019,6,30
